,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
China,China,GPE,0.34550452,1.84863965,en,23.64404762,4009937-4,1814991,A,35.0,105.0,ASIA,China,EAS
the United States,the United States,GPE,0.06223725,2.05380729,en,8.17619048,,0,L,-14.60485,-57.65625,,,
Taiwan,Taiwan,GPE,0.32089417,2.30510972,en,7.98571429,4017875-4,1668284,A,24.0,121.0,ASIA,Taiwan,EAS
Japan,Japan,GPE,0.26764909,1.40120184,en,7.30000000,4028495-5,1861060,A,35.68536,139.75309,ASIA,Japan,EAS
Hong Kong,Hong Kong,GPE,0.85093612,2.32030297,en,7.05000000,1318138531,1819729,P,22.27832,114.17469,ASIA,Hong Kong,EAS
U.S.,U.S.,GPE,0.07905440,2.36501259,en,4.50952381,,0,L,-14.60485,-57.65625,,,
Shanghai,Shanghai,GPE,0.03728355,0.65495806,en,4.00000000,4052066-3,1796236,P,31.22222,121.45806,ASIA,China,EAS
Beijing,Beijing,GPE,1.42443667,2.22775188,en,3.90000000,4075971-4,1816670,P,39.9075,116.39723,ASIA,China,EAS
Europe,Europe,LOC,-0.13464373,1.00749386,en,3.70000000,,0,L,50.28762,15.1903,,,
Asia,Asia,LOC,-0.06368795,0.42097046,en,3.10000000,,0,L,29.84064,89.29688,,,
Australia,Australia,GPE,0.05000000,0.10000000,en,3.00000000,4003900-6,2077456,A,-25.0,135.0,OCEANIA,Australia,CAU
North America,North America,LOC,0.03720238,0.12500000,en,2.80000000,,0,L,46.07323,-100.54688,,,
Southern California,Southern California,LOC,-0.26091270,0.48115079,en,2.80000000,,11071615,L,34.68743,-116.78467,NORTH-AMERICA,United States,WNA
Russia,Russia,GPE,-0.14145128,1.12993910,en,2.67142857,4076899-5,2017370,A,60.0,100.0,ASIA,Russia,ESB
Texas,Texas,GPE,0.17682780,1.26358826,en,2.10000000,4059594-8,12217092,L,28.9204,-98.5772,CENTRAL-AMERICA,United States,NCA
US,US,GPE,0.76048387,1.55829493,en,2.06666667,,0,L,8.62,-170.11,,,
Brazil,Brazil,GPE,0.28738404,0.53036487,en,1.92500000,4008003-1,3469034,A,-10.0,-55.0,SOUTH-AMERICA,Brazil,SAM
Silicon Valley,Silicon Valley,LOC,0.31339713,1.99515835,en,1.90000000,4107751-9,6940309,L,37.37,-122.04,NORTH-AMERICA,United States,WNA
Los Angeles,Los Angeles,GPE,-0.22807018,0.57309942,en,1.90000000,4036361-2,5368361,P,34.05223,-118.24368,NORTH-AMERICA,United States,WNA
Chengdu,Chengdu,GPE,0.76686869,1.81252525,en,1.87500000,4249575-1,1815286,P,30.66667,104.06667,ASIA,China,EAS
the Taiwan Strait,the Taiwan Strait,LOC,0.37037037,1.93518519,en,1.80000000,,0,,,,,,
San Francisco,San Francisco,GPE,-0.02469136,1.76080247,en,1.80000000,4344631-0,3600949,P,14.0818,-87.20681,CENTRAL-AMERICA,Honduras,SCA
Zhejiang,Zhejiang,GPE,-0.01420455,0.72222222,en,1.80000000,4078436-8,1784764,A,29.16667,120.0,ASIA,China,EAS
Orchid Island,Orchid Island,LOC,0.44928451,0.93665825,en,1.80000000,4625940-5,1673093,T,22.05111,121.54083,ASIA,Taiwan,EAS
Arctic,Arctic,LOC,-0.05279648,1.01949722,en,1.80000000,,0,H,85.0,0.0,,,
Harbin,Harbin,GPE,0.19065657,0.63320707,en,1.80000000,4072316-1,2037013,P,45.75,126.65,ASIA,China,ESB
Art District,Art District,LOC,2.08823529,2.67647059,en,1.70000000,,1148106,P,37.08571,69.47958,ASIA,Afghanistan,WCA
South Korea,South Korea,GPE,0.50023674,1.55634470,en,1.60000000,4078029-6,1835841,A,36.5,127.75,ASIA,South Korea,EAS
India,India,GPE,0.43110795,0.97608902,en,1.60000000,4026722-2,1269750,A,22.0,79.0,ASIA,India,SAS
Hong Kong's,Hong Kong's,GPE,0.85317235,1.94069602,en,1.60000000,4025822-1,1819730,A,22.25,114.16667,ASIA,Hong Kong,EAS
Tai Po,Tai Po,GPE,0.32310606,0.76458333,en,1.60000000,,1818673,P,22.45007,114.16877,ASIA,Hong Kong,EAS
