,phrase,label,sentiment,subjectivity,language,count
Chinese,Chinese,NORP,,,en,27.766666666666698
first,first,ORDINAL,,,en,27.165151515151543
2025,2025,CARDINAL,,,en,12.091666666666649
two,two,CARDINAL,,,en,10.789393939393927
today,today,DATE,,,en,10.383333333333331
winter,winter,DATE,,,en,10.081818181818178
three,three,CARDINAL,,,en,8.625
one,one,CARDINAL,,,en,8.178354978354976
2026,2026,DATE,,,en,7.98333333333333
second,second,ORDINAL,,,en,6.954545454545452
Today,Today,DATE,,,en,6.724999999999996
1,1,CARDINAL,,,en,5.809523809523808
this year,this year,DATE,,,en,5.256818181818183
Japanese,Japanese,NORP,,,en,4.800000000000001
annual,annual,DATE,,,en,4.733333333333334
Christmas,Christmas,DATE,,,en,4.685714285714286
17,17,CARDINAL,,,en,4.6484848484848476
American,American,NORP,,,en,4.625000000000001
four,four,CARDINAL,,,en,4.466666666666669
3,3,CARDINAL,,,en,3.6916666666666687
British,British,NORP,,,en,3.600000000000001
2,2,CARDINAL,,,en,3.5000000000000013
15,15,CARDINAL,,,en,3.3428571428571434
year,year,DATE,,,en,3.300000000000002
Italian,Italian,NORP,,,en,3.1
New Year,New Year,EVENT,,,en,3.000000000000001
ten,ten,CARDINAL,,,en,3.0
10,10,CARDINAL,,,en,2.9666666666666677
Taiwanese,Taiwanese,NORP,,,en,2.9000000000000012
5,5,CARDINAL,,,en,2.9000000000000004
2001,2001,DATE,,,en,2.9000000000000004
8,8,CARDINAL,,,en,2.891666666666667
next year,next year,DATE,,,en,2.8500000000000005
36,36,CARDINAL,,,en,2.800000000000001
the evening,the evening,TIME,,,en,2.8000000000000007
December 9,December 9,DATE,,,en,2.8000000000000007
2024,2024,DATE,,,en,2.766666666666667
eight,eight,CARDINAL,,,en,2.75
Friday,Friday,DATE,,,en,2.6000000000000014
last year,last year,DATE,,,en,2.5333333333333337
100,100,CARDINAL,,,en,2.5250000000000004
third,third,ORDINAL,,,en,2.500000000000001
Ultra,Ultra,NORP,,,en,2.500000000000001
December 8,December 8,DATE,,,en,2.500000000000001
the Year of the,the Year of the,DATE,,,en,2.5000000000000004
