,phrase,label,sentiment,subjectivity,language,count
Yahoo,Yahoo,ORG,0.701639007189274,2.46662685424638,en,40.25079365079386
Apple,Apple,ORG,0.89628598720968,3.4234954551151446,en,14.583838383838359
House,House,ORG,0.571371670432113,2.262068881654316,en,14.338888888888865
AI,AI,ORG,0.8373098273737853,3.0185990707176233,en,12.16111111111109
The Meteorological Administration,The Meteorological Administration,ORG,0.2856760866801945,0.9851931817358566,en,10.433333333333332
Central News Agency,Central News Agency,ORG,0.17571767235032557,1.4758559109069327,en,8.749999999999991
Tesla,Tesla,ORG,0.20014660076577767,2.388891577378249,en,8.223809523809516
Trump,Trump,ORG,0.34062451874366795,2.2935080040526863,en,7.417929292929287
HUAWEI,HUAWEI,ORG,0.9938133818342162,2.3035383597883623,en,7.199999999999992
Newtalk News,Newtalk News,ORG,0.2110197655216273,1.839188454555712,en,7.034126984126981
Google,Google,ORG,0.9129387141783839,2.9860550606418386,en,6.72222222222222
Huawei,Huawei,ORG,0.9707698215762739,2.425377042312528,en,6.7166666666666615
DeepSeek,DeepSeek,ORG,0.3196922278752175,1.4445452314009009,en,6.466666666666668
OPPO,OPPO,ORG,0.6801840780365015,1.4515680721627873,en,6.190909090909084
NVIDIA,NVIDIA,ORG,0.2771270148291428,2.596428755641525,en,6.154761904761899
WeChat,WeChat,ORG,1.020932359133233,2.467950274899666,en,5.631818181818178
Microsoft,Microsoft,ORG,-0.3274533774851438,2.6381524905984888,en,5.621428571428569
Samsung,Samsung,ORG,0.7486965954606143,1.8140383845126837,en,5.404040404040403
Amazon,Amazon,ORG,1.199648341326239,3.0115274812040327,en,5.299999999999997
Krypton,Krypton,ORG,0.40403761822280854,2.1638953040800613,en,5.248484848484851
iPhone,iPhone,ORG,0.9694225587429476,3.2079395882793955,en,5.149999999999999
Musk,Musk,ORG,-0.07474878579802373,2.212765868363758,en,4.73888888888889
OpenAI,OpenAI,ORG,0.18440105021332462,1.6061142106990485,en,4.616666666666666
TSMC,TSMC,ORG,0.36173687423687423,2.358241758241758,en,4.55
Ultra,Ultra,ORG,0.5575880758807584,1.2991192411924113,en,4.100000000000001
Nvidia,Nvidia,ORG,0.703174704508974,2.3142159455712816,en,3.955555555555557
SpaceX,SpaceX,ORG,-0.14934662092858222,2.1952785761125053,en,3.8805555555555573
Xiaomi,Xiaomi,ORG,0.9173023352542942,2.515338925191958,en,3.7666666666666684
Tencent,Tencent,ORG,0.9662909206178433,2.3023236379005603,en,3.7555555555555573
Kuomintang,Kuomintang,ORG,0.5213360518109857,1.6187175181898132,en,3.6095238095238105
LG,LG,ORG,0.8628296857463519,1.9684343434343428,en,3.6000000000000014
The Central Meteorological Administration,The Central Meteorological Administration,ORG,0.17448683322079672,1.250243079000675,en,3.5261904761904765
DJI,DJI,ORG,0.8786384250669962,1.377169655741084,en,3.500000000000001
Disney,Disney,ORG,0.1374999999999999,1.3487980769230765,en,3.4666666666666677
Netflix,Netflix,ORG,0.6838978015448601,1.8138368983957214,en,3.400000000000001
the Central Meteorological Administration,the Central Meteorological Administration,ORG,0.0529184247538678,1.2651195499296763,en,3.385714285714286
Sony,Sony,ORG,0.5888214645133463,2.088094838740594,en,3.0111111111111124
Ideal,Ideal,ORG,1.382113997113997,1.7158128908128907,en,3.0
the Democratic Progressive Party,the Democratic Progressive Party,ORG,0.25899621212121204,1.3515078671328669,en,2.933333333333334
"Qooah.com
","Qooah.com
",ORG,0.4568200852748591,1.5816963605908325,en,2.8428571428571434
the Meteorological Administration,the Meteorological Administration,ORG,0.13275401069518716,0.7175133689839572,en,2.8333333333333335
the Self-Defense Forces,the Self-Defense Forces,ORG,-0.07142857142857141,0.17857142857142855,en,2.8000000000000003
Xibei,Xibei,ORG,0.6455593122259786,2.115225948559281,en,2.7750000000000012
Weibo,Weibo,ORG,0.8944345238095238,2.0133969155844156,en,2.666666666666667
LEICA,LEICA,ORG,0.2717340067340067,1.0490207631874298,en,2.5714285714285716
Manus,Manus,ORG,-0.013071895424836617,1.4836601307189539,en,2.5500000000000007
Reuters,Reuters,ORG,0.05213815789473679,1.6394736842105258,en,2.533333333333334
KMT,KMT,ORG,-0.044888888888888846,1.3402222222222213,en,2.5000000000000013
Wang Fook Court,Wang Fook Court,ORG,0.34355555555555545,0.5882222222222221,en,2.5000000000000004
IKEA,IKEA,ORG,0.39861329147043423,1.408977266120123,en,2.4818181818181824
The Highway Bureau,The Highway Bureau,ORG,0.0,0.20408163265306126,en,2.4499999999999997
CCP,CCP,ORG,0.1706422018348624,1.7944954128440362,en,2.422222222222223
Bubble Mart,Bubble Mart,ORG,0.566054894179894,1.9817680776014102,en,2.400000000000001
Hasselblad,Hasselblad,ORG,0.6720328282828282,1.1512445887445886,en,2.4000000000000004
Bosideng,Bosideng,ORG,-0.004243827160493828,0.33699845679012347,en,2.4
Altman,Altman,ORG,0.017730496453900697,0.7588652482269506,en,2.3499999999999996
the Public Works Bureau,the Public Works Bureau,ORG,-0.04775801493192799,0.4749209486166008,en,2.3
Lenovo,Lenovo,ORG,0.18974116161616153,2.207354797979797,en,2.2857142857142865
WhatsApp,WhatsApp,ORG,0.45198740653286085,2.2581660763478935,en,2.200000000000001
ASUS,ASUS,ORG,0.9557260920897279,2.0495375836284913,en,2.200000000000001
Krypton Evening News,Krypton Evening News,ORG,-0.030200544405089864,1.9401113406795218,en,2.2000000000000006
Ludong Elementary School,Ludong Elementary School,ORG,0.435064935064935,0.7435064935064934,en,2.2
Congress,Congress,ORG,0.22417253405277354,1.1806935579390667,en,2.192929292929293
EU,EU,ORG,0.31261238761238747,1.0258408258408256,en,2.1666666666666674
Samsung Electronics,Samsung Electronics,ORG,0.3576530334950023,1.4800843586465346,en,2.144444444444445
DPP,DPP,ORG,0.20001879699248115,0.5796992481203006,en,2.1111111111111116
Bloomberg,Bloomberg,ORG,0.8202260702260699,2.0220057720057714,en,2.100000000000001
iPhone Fold,iPhone Fold,ORG,0.1811517847232132,1.0345479916908484,en,2.100000000000001
Panasonic,Panasonic,ORG,0.2599206349206349,0.657142857142857,en,2.1000000000000005
GitHub,GitHub,ORG,0.5238095238095238,0.6666666666666666,en,2.1
Facebook,Facebook,ORG,0.06132596685082872,1.0524861878453036,en,2.0111111111111115
House News,House News,ORG,0.282747113997114,1.5638528138528134,en,2.0000000000000004
NASA,NASA,ORG,0.4334280303030303,1.3454545454545455,en,2.0
GDC,GDC,ORG,0.007619047619047596,0.7277380952380953,en,1.9999999999999998
the Hong Kong Stock Exchange,the Hong Kong Stock Exchange,ORG,0.022688280986153317,0.980837554880108,en,1.9583333333333335
Steam Machine,Steam Machine,ORG,0.7207977207977206,1.1638176638176636,en,1.9500000000000002
QQ,QQ,ORG,0.9587024247428867,1.9337981382779064,en,1.922222222222223
Elon Musk,Elon Musk,ORG,1.4181286549707597,1.8713450292397655,en,1.9000000000000006
TCL,TCL,ORG,0.200983519404572,0.9921812106022628,en,1.9000000000000006
Financial News,Financial News,ORG,0.08706140350877191,0.6747807017543859,en,1.9000000000000004
Center/,Center/,ORG,0.0,0.0,en,1.9
the Financial Times,the Financial Times,ORG,0.050000000000000024,0.1855263157894737,en,1.9
the Hsinchu County Government,the Hsinchu County Government,ORG,-0.2982456140350877,0.537280701754386,en,1.9
Financial News Express,Financial News Express,ORG,-0.07550994229889639,0.4895918849027173,en,1.8929292929292931
the Communist Party of China,the Communist Party of China,ORG,0.01601941747572815,0.6559061488673137,en,1.8727272727272732
the Ministry of Industry and Information Technology,the Ministry of Industry and Information Technology,ORG,0.4327522327522327,1.1086268086268087,en,1.85
CCTV,CCTV,ORG,0.25125639512003145,1.2301190476190476,en,1.8333333333333337
Xiaomi Motors,Xiaomi Motors,ORG,0.36184573002754816,1.2841597796143254,en,1.8333333333333333
CCTV News,CCTV News,ORG,0.3016986062717769,1.893641114982578,en,1.8222222222222226
CES,CES,ORG,0.29008838383838376,1.434869528619528,en,1.8000000000000007
Qualcomm,Qualcomm,ORG,0.12962962962962965,1.685185185185185,en,1.8000000000000003
NIO,NIO,ORG,0.41222943722943717,1.3359307359307357,en,1.8000000000000003
the White House,the White House,ORG,0.18149250440917103,0.5945767195767194,en,1.8000000000000003
"Ministry of Land, Infrastructure, Transport and Tourism","Ministry of Land, Infrastructure, Transport and Tourism",ORG,0.1456228956228956,0.5749158249158249,en,1.8
Chiayi,Chiayi,ORG,0.2694444444444445,0.46296296296296297,en,1.7999999999999998
Chunghwa Telecom,Chunghwa Telecom,ORG,-0.1388888888888889,0.5995370370370371,en,1.7999999999999998
Qingfu Foundation,Qingfu Foundation,ORG,-0.23063973063973067,0.24663299663299668,en,1.7999999999999998
Intel,Intel,ORG,0.05723905723905724,0.4074074074074075,en,1.7999999999999998
the Ministry of Agriculture,the Ministry of Agriculture,ORG,0.5764355231143553,0.6824574209245742,en,1.779220779220779
Xinhua News Agency,Xinhua News Agency,ORG,0.6106182795698926,0.887231182795699,en,1.7714285714285714
MWC,MWC,ORG,0.2605774728416238,1.1631646655231558,en,1.7666666666666668
Volkswagen,Volkswagen,ORG,0.23675919767563977,1.3247190814576262,en,1.7666666666666662
WBC,WBC,ORG,0.32753164556962017,0.6693037974683543,en,1.7555555555555558
Valve,Valve,ORG,0.284126984126984,1.2539682539682535,en,1.7500000000000004
the Vancouver Film School,the Vancouver Film School,ORG,0.42857142857142855,0.47619047619047616,en,1.75
DeepSeek V4,DeepSeek V4,ORG,0.3107205697528277,1.686749057394218,en,1.7222222222222228
Krypton丨The,Krypton丨The,ORG,-0.06946160635481022,0.7186231244483671,en,1.7166666666666668
Porsche,Porsche,ORG,0.4980823642588346,1.2948554169142399,en,1.7000000000000006
REDMI,REDMI,ORG,0.3332617137764195,1.1590511204481788,en,1.7000000000000006
ChatGPT,ChatGPT,ORG,0.15519162210338677,1.341243315508021,en,1.7000000000000006
Netizens,Netizens,ORG,0.18833984642808166,1.7777492115727407,en,1.7000000000000006
Twitter,Twitter,ORG,0.23105848399966036,1.309200548906431,en,1.7000000000000006
Pentagon,Pentagon,ORG,0.31290849673202603,1.3692810457516333,en,1.7000000000000006
App Store,App Store,ORG,0.27941176470588225,1.3186274509803917,en,1.7000000000000006
Ford,Ford,ORG,-0.11519607843137253,0.4803921568627449,en,1.7000000000000006
Warner Bros.,Warner Bros.,ORG,-0.006372549019607857,1.1235294117647054,en,1.7000000000000006
Far EasTone Telecommunications,Far EasTone Telecommunications,ORG,0.18963585434173671,1.945751633986928,en,1.7000000000000002
Pura,Pura,ORG,0.1677616501145913,0.8217198242933538,en,1.7000000000000002
AGI,AGI,ORG,-0.3823529411764705,1.1176470588235292,en,1.7000000000000002
REDMI K90 Max,REDMI K90 Max,ORG,0.042557932263814616,0.4866310160427807,en,1.7000000000000002
TikTok,TikTok,ORG,0.1318432486631016,1.0749554367201424,en,1.7000000000000002
SONY,SONY,ORG,0.3676470588235294,1.1176470588235292,en,1.7000000000000002
TB,TB,ORG,0.5204991087344027,0.7305035650623886,en,1.7000000000000002
Starlink,Starlink,ORG,0.34558823529411764,1.0073529411764703,en,1.7000000000000002
Huxiu Automobile Group,Huxiu Automobile Group,ORG,0.1691176470588235,0.4282531194295901,en,1.7
BYD,BYD,ORG,0.6625482625482624,1.2009867009867006,en,1.6818181818181823
APP,APP,ORG,0.3521021021021021,0.8744315744315745,en,1.6818181818181819
Yushu Technology,Yushu Technology,ORG,0.1597951593860685,0.587189492325856,en,1.6666666666666665
the House of Representatives,the House of Representatives,ORG,0.18367346938775514,1.163265306122449,en,1.6333333333333333
FTNN News Network,FTNN News Network,ORG,-0.314625850340136,0.7806122448979591,en,1.6333333333333333
iTunes,iTunes,ORG,0.33766233766233766,1.1683982683982679,en,1.6000000000000005
Wuling,Wuling,ORG,0.3800730519480517,2.6249999999999987,en,1.6000000000000005
the Legislative Yuan,the Legislative Yuan,ORG,0.10253906249999997,0.8796874999999997,en,1.6000000000000005
UNIQLO,UNIQLO,ORG,1.3954274891774887,1.9997294372294365,en,1.6000000000000005
HUAWEI Pura,HUAWEI Pura,ORG,0.2820391414141413,1.0143623737373735,en,1.6000000000000005
"the ""Annual Technology and Business Trend Vane","the ""Annual Technology and Business Trend Vane",ORG,1.7499999999999993,1.6874999999999996,en,1.6000000000000005
ByteDance,ByteDance,ORG,0.3961302008177007,1.3162270599770596,en,1.6000000000000005
Heytea,Heytea,ORG,-0.3385416666666665,2.109374999999999,en,1.6000000000000005
OTA,OTA,ORG,0.7862215909090907,1.3554292929292928,en,1.6000000000000003
the Wall Street Journal,the Wall Street Journal,ORG,-0.0549242424242424,0.5625,en,1.6000000000000003
Xpeng Motors,Xpeng Motors,ORG,0.5118371212121212,0.9456507034632035,en,1.6
the Water Conservancy Administration,the Water Conservancy Administration,ORG,0.125,0.0625,en,1.6
OPC,OPC,ORG,0.8895833333333333,1.2020833333333332,en,1.6
the Ministry of Economic Affairs,the Ministry of Economic Affairs,ORG,0.125,0.0625,en,1.6
The Tourism Bureau,The Tourism Bureau,ORG,0.17708333333333331,0.21874999999999997,en,1.6
the Pingtung County Veterans Service Office,the Pingtung County Veterans Service Office,ORG,0.23759920634920634,0.3125,en,1.6
Nantou Baodao Times Village,Nantou Baodao Times Village,ORG,0.3068181818181818,0.12247474747474747,en,1.6
Democratic Progressive Party,Democratic Progressive Party,ORG,0.14756944444444442,0.4236111111111111,en,1.6
Alphabet,Alphabet,ORG,0.08333333333333333,0.20833333333333331,en,1.6
the Golden Horse Comrades Association,the Golden Horse Comrades Association,ORG,0.33134920634920634,0.2371031746031746,en,1.6
the Pingtung County Service Station,the Pingtung County Service Station,ORG,-0.006138392857142835,0.45892857142857135,en,1.6
