,phrase,label,sentiment,subjectivity,language,count
Hao Xueqing,Hao Xueqing,PERSON,0.10626984126984126,0.5689417989417989,en,3.5000000000000004
Lai Ching-te,Lai Ching-te,PERSON,0.1610660173160173,1.7882557720057712,en,3.0000000000000013
Yang Wenke,Yang Wenke,PERSON,0.2674906716417911,0.9715485074626867,en,2.9777777777777774
Zheng Mingdian,Zheng Mingdian,PERSON,-0.012254464285714285,0.8833035714285717,en,2.666666666666666
Xiaomi Mi 17,Xiaomi Mi 17,PERSON,0.4843386243386242,1.8485185185185178,en,2.500000000000001
Lu Xiuyan,Lu Xiuyan,PERSON,-0.054869093231162194,0.5523414218816517,en,2.4857142857142858
Mixue Bingcheng,Mixue Bingcheng,PERSON,0.33446067821067804,1.0264926046176044,en,2.400000000000001
Luo Yonghao,Luo Yonghao,PERSON,0.3860690235690234,2.0562710437710434,en,2.250000000000001
Xi Jinping,Xi Jinping,PERSON,0.2927125506072874,0.6899460188933872,en,2.2454545454545456
Lei Jun,Lei Jun,PERSON,0.5174541097430706,2.328417992541368,en,2.200000000000001
Wu Derong,Wu Derong,PERSON,0.42187499999999994,0.8906250000000001,en,2.1333333333333333
Peng Xinru,Peng Xinru,PERSON,-0.13253588516746412,1.0261961722488038,en,2.111111111111111
Zhang Youxia,Zhang Youxia,PERSON,0.0019860076732114654,0.5015290002256827,en,1.9181818181818182
Chen Zhen,Chen Zhen,PERSON,0.21638376243639393,2.3685919343814072,en,1.9000000000000008
Brendan Fisher,Brendan Fisher,PERSON,0.6554783950617281,1.7542438271604932,en,1.8000000000000007
Cheng Lai-wen,Cheng Lai-wen,PERSON,-0.19444444444444436,1.1249999999999998,en,1.8000000000000007
Xie Jinhe,Xie Jinhe,PERSON,0.07575757575757576,0.25252525252525254,en,1.7999999999999998
Jen-Hsun Huang,Jen-Hsun Huang,PERSON,-0.05555555555555558,0.8888888888888891,en,1.7999999999999998
Lu Weibing,Lu Weibing,PERSON,0.12037037037037039,0.4320987654320988,en,1.7999999999999998
Yu Minhong,Yu Minhong,PERSON,0.3875572047000618,1.5275664811379093,en,1.7500000000000004
Lai Qingde,Lai Qingde,PERSON,0.07930735930735931,0.5970562770562771,en,1.7500000000000002
Gu Ailing,Gu Ailing,PERSON,0.0,0.37142857142857144,en,1.75
Cai Lei,Cai Lei,PERSON,0.009523809523809521,0.23095238095238094,en,1.75
Xiaomi SU7,Xiaomi SU7,PERSON,0.3154188948306594,1.6030303030303024,en,1.7000000000000006
Zhuo Rongtai,Zhuo Rongtai,PERSON,-0.07461564171122993,0.4026292335115863,en,1.7000000000000006
Yang Qiongying,Yang Qiongying,PERSON,-0.10294117647058822,0.44215686274509797,en,1.7000000000000002
Jiang Qichen,Jiang Qichen,PERSON,-0.10294117647058822,0.44215686274509797,en,1.7000000000000002
Lan Shuxin,Lan Shuxin,PERSON,-0.14814814814814817,0.3703703703703704,en,1.7
Donald Trump,Donald Trump,PERSON,-0.04954954954954955,0.5078828828828829,en,1.6818181818181819
Wu Hongxian,Wu Hongxian,PERSON,0.0,0.0,en,1.6
Zhang Jinding,Zhang Jinding,PERSON,0.49693362193362195,0.8188131313131315,en,1.5999999999999999
Lai Ruilong,Lai Ruilong,PERSON,0.7965909090909092,0.8136363636363638,en,1.5999999999999999
Jia Guolong,Jia Guolong,PERSON,0.5053763440860214,1.2491039426523296,en,1.5500000000000003
Din Tai Fung,Din Tai Fung,PERSON,0.08897058823529412,0.7387254901960784,en,1.5454545454545456
Kaori Asai,Kaori Asai,PERSON,0.1296296296296296,0.6296296296296294,en,1.5000000000000004
Huang Renxun,Huang Renxun,PERSON,-0.07999999999999999,1.834365079365079,en,1.5000000000000002
Liu Minfu,Liu Minfu,PERSON,-0.04666666666666667,0.4022222222222222,en,1.5
Power2 mobile,Power2 mobile,PERSON,0.2236111111111111,0.4842592592592592,en,1.5
Stephen Chow,Stephen Chow,PERSON,0.06666666666666665,0.16666666666666666,en,1.5
Zou Qing,Zou Qing,PERSON,0.7833333333333333,0.8388888888888889,en,1.5
Chen Jianxian,Chen Jianxian,PERSON,0.12980769230769232,0.26826923076923076,en,1.4444444444444444
Xiaomi 17 Ultra,Xiaomi 17 Ultra,PERSON,0.6428571428571427,1.2936507936507933,en,1.4000000000000004
Liu Shifang,Liu Shifang,PERSON,0.1577380952380952,1.22172619047619,en,1.4000000000000004
Deng Jiang,Deng Jiang,PERSON,0.880803571428571,1.7678571428571426,en,1.4000000000000004
Hideo Kojima,Hideo Kojima,PERSON,0.05533652855081425,1.094300144300144,en,1.4000000000000004
Liu Jingqiong,Liu Jingqiong,PERSON,0.26704545454545453,1.4659090909090908,en,1.4000000000000001
Zhang Fan,Zhang Fan,PERSON,0.21726190476190477,0.4097222222222222,en,1.4000000000000001
Yuan Silai,Yuan Silai,PERSON,-0.007653061224489808,0.9863945578231293,en,1.4000000000000001
Getty Images,Getty Images,PERSON,0.10714285714285715,0.32142857142857145,en,1.4
Wang Gaorong,Wang Gaorong,PERSON,0.048701298701298704,0.5016233766233766,en,1.4
Lee Jae-ming,Lee Jae-ming,PERSON,-0.049999999999999996,0.2357142857142857,en,1.4
Changhua Rongjia,Changhua Rongjia,PERSON,0.33571428571428574,0.5488095238095239,en,1.4
Zeng Yongxi,Zeng Yongxi,PERSON,0.47857142857142865,0.8447278911564626,en,1.4
Lee Jae-myung,Lee Jae-myung,PERSON,-0.07142857142857144,0.28571428571428575,en,1.4
the Rong Family,the Rong Family,PERSON,0.5000000000000001,0.8775510204081632,en,1.4
Li Yapeng,Li Yapeng,PERSON,0.3239669421487604,0.623030303030303,en,1.375
Editor｜Su Jianxun,Editor｜Su Jianxun,PERSON,0.4673721340388007,0.9717813051146383,en,1.35
Shi Jixian,Shi Jixian,PERSON,0.09375,0.3125,en,1.3333333333333333
Li Di,Li Di,PERSON,-0.04545454545454546,0.9254079254079253,en,1.3000000000000003
Pang Donglai,Pang Donglai,PERSON,0.42052738927738914,1.308542152292152,en,1.3000000000000003
Chen Yijun,Chen Yijun,PERSON,-0.06701631701631701,1.364219114219114,en,1.3000000000000003
Pingtou Ge,Pingtou Ge,PERSON,-0.16025641025641024,0.5064102564102563,en,1.3000000000000003
Luo Fuli,Luo Fuli,PERSON,0.45604395604395587,1.4360195360195356,en,1.3000000000000003
Sanae Takaichi,Sanae Takaichi,PERSON,0.1560314685314685,0.7733100233100232,en,1.3000000000000003
Li Yang,Li Yang,PERSON,0.1571548821548821,1.1867650867650863,en,1.3000000000000003
Yang Zhenyuan,Yang Zhenyuan,PERSON,0.08241758241758239,0.8827838827838825,en,1.3000000000000003
Zhang Yiming,Zhang Yiming,PERSON,0.03535353535353535,0.7011784511784513,en,1.2857142857142856
Liu Zhenli,Liu Zhenli,PERSON,-0.09914965986394558,0.3512329931972789,en,1.2727272727272727
Xingyu orange,Xingyu orange,PERSON,-0.0474074074074074,0.4859259259259258,en,1.25
Hu Qi,Hu Qi,PERSON,-0.1485714285714286,0.9028571428571428,en,1.25
Zhou Zhifeng,Zhou Zhifeng,PERSON,-0.1485714285714286,0.9028571428571428,en,1.25
Zhou Xinyu,Zhou Xinyu,PERSON,0.17142857142857143,0.6628571428571428,en,1.25
Jing Qi,Jing Qi,PERSON,0.20038095238095238,0.9145396825396827,en,1.25
Kweichow Moutai,Kweichow Moutai,PERSON,0.5193233944954128,1.0849197247706421,en,1.2111111111111112
Tuen Mun,Tuen Mun,PERSON,0.4429383116883116,1.1288419913419914,en,1.2000000000000002
Han Kuo-yu,Han Kuo-yu,PERSON,-0.734126984126984,0.9573412698412697,en,1.2000000000000002
Magic8 Pro,Magic8 Pro,PERSON,0.20833333333333331,1.583333333333333,en,1.2000000000000002
Akio Yabata,Akio Yabata,PERSON,0.0,0.41666666666666663,en,1.2000000000000002
Zhu Xiaohu,Zhu Xiaohu,PERSON,0.08128156565656564,1.1349431818181817,en,1.2000000000000002
Chen Mengshuo,Chen Mengshuo,PERSON,-0.053819444444444434,0.6927083333333331,en,1.2000000000000002
Lin Kaiwei,Lin Kaiwei,PERSON,0.055555555555555546,0.055555555555555546,en,1.2000000000000002
Chen Xuefeng,Chen Xuefeng,PERSON,0.041666666666666664,0.32291666666666663,en,1.2000000000000002
Qiu Yanlong,Qiu Yanlong,PERSON,0.47222222222222215,0.7083333333333333,en,1.2000000000000002
Han Guoyu,Han Guoyu,PERSON,0.231060606060606,0.9861111111111109,en,1.2000000000000002
Chen Fuyang,Chen Fuyang,PERSON,0.07196969696969695,0.7121212121212119,en,1.2000000000000002
Sun Weijie,Sun Weijie,PERSON,0.673611111111111,1.5277777777777777,en,1.2000000000000002
Z11 Turbo,Z11 Turbo,PERSON,0.21780303030303028,0.5697601010101009,en,1.2000000000000002
Dario Vitale,Dario Vitale,PERSON,0.43749999999999994,2.1388888888888884,en,1.2000000000000002
Hong Xiaoping,Hong Xiaoping,PERSON,0.24999999999999994,0.41666666666666663,en,1.2000000000000002
Qiu Xiaofen,Qiu Xiaofen,PERSON,0.0,0.0,en,1.2000000000000002
Editor丨Yuan Silai,Editor丨Yuan Silai,PERSON,-0.1909722222222222,0.6956018518518516,en,1.2000000000000002
Magic8 Ultra,Magic8 Ultra,PERSON,0.2089646464646464,1.2474747474747472,en,1.2000000000000002
Zhu Xingming,Zhu Xingming,PERSON,-0.41666666666666663,0.41666666666666663,en,1.2000000000000002
Qiao Qian,Qiao Qian,PERSON,0.0,0.9131944444444442,en,1.2000000000000002
Wu Di,Wu Di,PERSON,0.8180555555555554,1.7833333333333332,en,1.2000000000000002
Jensen Huang,Jensen Huang,PERSON,0.07638888888888887,0.4092592592592592,en,1.2000000000000002
